Time,P_load,P_g1,P_g2,P_bess,Q_load,Q_g1,Q_g2,Q_bess,freq,volt,w_rotor,T_mech
26.3104,48.762500668932,8.1596653955154,8.1596653955145,32.449990891755,8.7959926208917,5.0616779863467,5.0616779863459,-1.3284529755686,58.959119746906,0.98821952284819,0.99452325929958,0.15977847912906
26.3136,47.922350547133,8.1016856054123,8.1016856054115,31.725491625196,8.1849243879806,4.6807544499361,4.6807544499354,-1.1776865505708,59.124921239291,0.99905250165944,0.99554645883066,0.15961070634404
26.3168,45.342175250633,7.7249810745649,7.7249810745641,29.898226190666,7.1480062207912,4.2124152663544,4.2124152663538,-1.2779349676922,59.320090057512,1.0060605374215,0.99537815548006,0.15963526471211
26.32,42.742096865156,7.5620491792721,7.5620491792711,27.623482757597,6.4625113856117,3.7783225388034,3.7783225388027,-1.0952504766407,59.456216098538,1.0099244693587,0.99365479728239,0.15991074782769
26.3232,40.68097162852,7.7081701724279,7.7081701724269,25.269616440793,6.1053213009036,3.5659469303059,3.5659469303051,-1.0276949316781,59.553491447115,1.0127167630281,0.9913901873018,0.16027574180565
26.3264,38.823742408054,7.8855915378435,7.8855915378428,23.057108030025,5.8126850419564,3.6414260418321,3.6414260418312,-1.4712947417242,59.610723760473,1.014960112341,0.98820071323281,0.16079373493822
26.3296,37.029578884901,7.8087350235304,7.8087350235298,21.416315828211,5.4095498762079,3.7555466811424,3.7555466811416,-2.1026756169677,59.605349409273,1.0101480325771,0.98522818350023,0.16128017720531
26.3328,35.354929687583,7.5076043465046,7.5076043465041,20.343667351273,5.0487767473824,3.8185995075212,3.8185995075206,-2.5895578615756,59.548667562869,1.0060086559389,0.9829587472577,0.1616543523349
26.336,33.858108794395,7.1144292071185,7.1144292071178,19.63298851338,4.798833130684,3.7681063469922,3.7681063469917,-2.7385178770232,59.468044669534,1.003218740746,0.98131921270384,0.16192634377638
26.3392,33.914204243459,7.0061237499521,7.0061237499514,19.905659056309,5.0497062092318,3.8754290592949,3.8754290592942,-2.7022894545619,59.41563525272,0.9968602204328,0.98130609762731,0.16193034062802
26.3424,36.732576437897,7.4963418662916,7.4963418662911,21.743944143485,6.1681516760769,4.3391763950023,4.3391763950013,-2.5113381558268,59.310144019168,0.98897163452839,0.9820966194411,0.16180169499641
26.3456,40.37000691205,7.9858523606996,7.9858523606994,24.402977275503,7.3747760470587,4.9905681811549,4.9905681811541,-2.6075001779709,59.192028433677,0.98390519062803,0.98404831916094,0.16148218477551
26.3488,43.309737055381,8.0660177061775,8.0660177061774,27.18307512524,8.0897757553012,5.4694629564402,5.4694629564396,-2.8502945035581,59.084045226055,0.98133644382396,0.98703423584743,0.160995038154
