Time,P_load,P_g1,P_g2,P_bess,Q_load,Q_g1,Q_g2,Q_bess,freq,volt,w_rotor,T_mech
7.024,15.266087783275,7.6330876245716,7.6330876245716,-9.6630925312383e-07,5.4424305998924,2.7213668969238,2.7213668969238,-2.7941423996677e-09,59.999984684762,1.0064354235913,0.9999999999994,0.15083571373608
7.0272,15.236608442372,7.6183481691261,7.6183481691261,-9.5788181493547e-07,5.4387791351553,2.719541445515,2.719541445515,-9.3960043734909e-09,59.999984998958,1.0064355282543,0.9999999999994,0.15082810335641
7.0304,15.19967600366,7.5998819230454,7.5998819230454,-9.4829113820472e-07,5.3621445270587,2.6812242250108,2.6812242250108,-3.9283804374903e-09,59.999985872998,1.0064354891781,0.9999999999994,0.15082049353494
7.0336,15.193964443116,7.59702589882,7.59702589882,-9.4980784531778e-07,5.314369213672,2.6573363644771,2.6573363644771,6.5795755726735e-09,59.999985550712,1.0064354628982,0.9999999999994,0.15081288427025
7.0368,15.218565713742,7.6093263608926,7.6093263608926,-9.6015528753896e-07,5.3103521847244,2.6553276661581,2.6553276661581,8.5957324904797e-09,59.9999853744,1.0064354295715,0.9999999999994,0.15080527556095
7.04,15.252882688938,7.6264848160585,7.6264848160585,-9.6601955961956e-07,5.3516562841156,2.6759796055205,2.6759796055205,-4.4888465680214005e-10,59.99998597671,1.0064355628879,0.9999999999994,0.15079766740562
7.0432,15.270971880418,7.6355295558452,7.6355295558452,-9.6005960220609e-07,5.4143814886378,2.7073422546029,2.7073422546029,-8.9041522216058e-09,59.999986846335,1.0064355434481,0.9999999999994,0.15079005980288
7.0464,15.255771239638,7.627929432672,7.627929432672,-9.5009174626214e-07,5.45081005986,2.7255567223128,2.7255567223128,-5.8848326743457e-09,59.999986513875,1.0064355258177,0.9999999999994,0.15078245275131
7.0496,15.220878226159,7.6104831556675,7.6104831556675,-9.4894268680571e-07,5.4055915924474,2.7029478346753,2.7029478346753,4.7421679019834e-09,59.999986411805,1.0064355461301,0.9999999999994,0.15077484624954
7.0528,15.193270892084,7.5966792636417,7.5966792636417,-9.5819596002413e-07,5.3377921300976,2.6690479393451,2.6690479393451,9.2964634724313e-09,59.999986849607,1.0064356103269,0.9999999999994,0.15076724029616
7.056,15.201316600673,7.6007018956244,7.6007018956244,-9.656212634247e-07,5.3075820069739,2.6539426798174,2.6539426798174,1.9135461922286e-09,59.999987049287,1.0064355621609,0.9999999999994,0.15075963488979
7.0592,15.232609632188,7.6163482862681,7.6163482862681,-9.6152099193876e-07,5.3225852941465,2.6614441656752,2.6614441656752,-7.8903307063261e-09,59.999986389509,1.0064355156157,0.9999999999994,0.15075203002904
7.0624,15.263501277887,7.6317941465577,7.6317941465577,-9.5129247351807e-07,5.3772759906936,2.6887894580739,2.6887894580739,-7.5061884155106e-09,59.999985680128,1.0064354960475,0.9999999999994,0.15074442571252
7.0656,15.268822268985,7.6344548344573,7.6344548344573,-9.483280634737e-07,5.4352053398522,2.7177542419793,2.7177542419793,2.5656867454446e-09,59.999986187933,1.0064356086694,0.9999999999994,0.15073682193886
7.0688,15.243246273392,7.6216670456561,7.6216670456561,-9.5651859019842e-07,5.4455125095479,2.7229080723408,2.7229080723408,9.3696007868636e-09,59.999986334221,1.006435609767,0.9999999999994,0.15072921870666
7.072,15.204741301003,7.6024146151329,7.6024146151329,-9.6538260895736e-07,5.3738790748946,2.6870915262264,2.6870915262264,4.1409738717884e-09,59.999985876156,1.0064355844884,0.9999999999994,0.15072161601457
7.0752,15.192016534088,7.5960519853382,7.5960519853382,-9.6343455524153e-07,5.3200000049401,2.6601517950918,2.6601517950918,-6.4123316795471e-09,59.999985455959,1.0064356055626,0.9999999999994,0.15071401386119
7.0784,15.212390526189,7.6062387870126,7.6062387870126,-9.5288546755904e-07,5.3076072197809,2.6539552149093,2.6539552149093,-8.69042396538e-09,59.999985913219,1.0064356599164,0.9999999999994,0.15070641224517
7.0816,15.247658186068,7.6238725538183,7.6238725538183,-9.4726652218289e-07,5.3416729880669,2.6709879690715,2.6709879690715,2.1024083283088003e-10,59.999985871988,1.0064355986118,0.9999999999994,0.15069881116513
7.0848,15.270901208298,7.63549418297,7.63549418297,-9.5397232627505e-07,5.4044392902946,2.7023711330658,2.7023711330658,8.8242357542032e-09,59.999985221943,1.0064355509854,0.9999999999994,0.1506912106197
7.088,15.260752013634,7.6304197905395,7.6304197905395,-9.6455080454158e-07,5.4495526950134,2.7249279978889,2.7249279978889,6.0620538802544e-09,59.999984859043,1.006435552989,0.9999999999994,0.15068361060754
7.0912,15.226915427536,7.6135017300627,7.6135017300627,-9.6543662504228e-07,5.4210690180706,2.7106864913807,2.7106864913807,-4.5363653397599e-09,59.999985719008,1.0064356705324,0.9999999999994,0.15067601112726
7.0944,15.194176704165,7.5971322103054,7.5971322103054,-9.5548366196593e-07,5.3462847238526,2.6732942737471,2.6732942737471,-9.3343378403696e-09,59.999986180314,1.0064356814046,0.9999999999994,0.15066841217753
7.0976,15.197554933102,7.5988210885755,7.5988210885755,-9.4732227662901e-07,5.3085667442263,2.6544350816592,2.6544350816592,-2.1444523368234e-09,59.999985779528,1.0064356503401,0.9999999999994,0.15066081375699
7.1008,15.227647524858,7.6138672395236,7.6138672395236,-9.5120398054468e-07,5.3165111593604,2.658407116814,2.658407116814,7.7616664154938e-09,59.999985890946,1.00643570159,0.9999999999994,0.15065321586429
7.104,15.260705213673,7.6303960985356,7.6303960985356,-9.6218234263522e-07,5.3676436874268,2.6839733007687,2.6839733007687,7.6454953367251e-09,59.999986633937,1.0064357577929,0.9999999999994,0.15064561849808
7.1072,15.270764973761,7.6354261655564,7.6354261655564,-9.663484468376e-07,5.4287282577254,2.7145156811885,2.7145156811885,-2.3357335856323e-09,59.999987024496,1.0064356765454,0.9999999999994,0.15063802165702
7.1104,15.247671580875,7.6238796648499,7.6238796648499,-9.5842498037312e-07,5.4497962007963,2.7250498710289,2.7250498710289,-9.3382738618867e-09,59.99998635236,1.0064356352453,0.9999999999994,0.15063042533977
