t|Main,Pload|Main,Qload|Main,Pcmd_BESS|Main,Pcmd_gt|Main,f_poi_meas2|Main,f_poi_meas|Main
0.156,51.47602157,4.510682517,0,6.431524505,59.97782162,59.97782162
0.157,51.90302564,5.078627571,0,6.487650015,60.03475301,60.03475301
0.158,51.47322872,5.154437554,0,6.436591679,60.0373247,60.0373247
0.159,51.67625772,4.955696264,0,6.455994218,60.03957322,60.03957322
0.16,51.94348403,5.62805034,0,6.494699847,60.04153918,60.04153918
0.161,51.50188229,5.412736149,0,6.438384513,60.04198979,60.04198979
0.162,51.88201779,5.432088065,0,6.481777617,60.04238377,60.04238377
0.163,51.93408186,6.103523323,0,6.494805235,60.02156802,60.02156802
0.164,51.60478281,5.702253443,0,6.449530927,60.00336804,60.00336804
0.165,52.07975905,5.958445111,0,6.50732111,59.98745515,59.98745515
0.166,51.90253083,6.487729829,0,6.491498546,59.97354193,59.97354193
0.167,51.76888499,6.033190087,0,6.468639559,59.96692963,59.96692963
0.168,52.23885414,6.503982622,0,6.528692552,59.96114825,59.96114825
0.169,51.86905714,6.736434021,0,6.4868448,59.99016527,59.99016527
0.17,51.96488604,6.434674692,0,6.492294334,60.01553589,60.01553589
0.171,52.31947687,7.061074551,0,6.540756415,59.97816183,59.97816183
0.172,51.86346674,6.974294963,0,6.484508829,59.94548432,59.94548432
0.173,52.15878378,6.874933163,0,6.516297611,59.91691319,59.91691319
0.174,52.31475042,7.556388043,0,6.541882991,59.89193242,59.89193242
0.175,51.90663601,7.227432173,0,6.48816037,59.87674436,59.87674436
0.176,52.33380552,7.357462286,0,6.538649353,59.8634649,59.8634649
0.177,52.25704234,7.966748886,0,6.535661717,59.87287183,59.87287183
0.178,52.00503864,7.503563991,0,6.49888355,59.88109665,59.88109665
0.179,52.48018488,7.856396674,0,6.558105412,59.88828791,59.88828791
0.18,52.18855463,8.235300563,0,6.527329438,59.87527208,59.87527208
0.181,52.16241053,7.823142118,0,6.517372282,59.86389187,59.86389187
0.182,52.58341089,8.365313115,0,6.572721694,59.85394174,59.85394174
0.183,52.15301341,8.417844505,0,6.521565835,59.86715027,59.86715027
0.184,52.3554635,8.199624532,0,6.540905937,59.87869897,59.87869897
0.185,52.62008303,8.85443041,0,6.579289387,59.88879641,59.88879641
0.186,52.17580951,8.623219261,0,6.522651989,59.89777993,59.89777993
0.187,52.54921536,8.628141338,0,6.565235533,59.90563454,59.90563454
0.188,52.59097156,9.283914061,0,6.576984115,59.97918673,59.97918673
0.189,52.24962157,8.866193717,0,6.530221691,60.04349608,60.04349608
0.19,52.70969145,9.103864192,0,6.586159429,60.09972408,60.09972408
0.191,52.51617651,9.61209834,0,6.568309197,60.14888626,60.14888626
0.192,52.36563751,9.133357398,0,6.54333669,60.13871518,60.13871518
0.193,52.82057619,9.576845298,0,6.601487713,60.12982223,60.12982223
0.194,52.43867809,9.781126064,0,6.558120924,60.09938839,60.09938839
0.195,52.52485957,9.449088144,0,6.562342855,60.07277899,60.07277899
0.196,52.87401929,10.045093,0,6.610090614,60.03376179,60.03376179
0.197,52.41685651,9.929093272,0,6.55368851,59.99964763,59.99964763
0.198,52.7126451,9.802006033,0,6.585516853,59.96982039,59.96982039
0.199,52.87163983,10.45792516,0,6.611467596,59.94374135,59.94374135
0.2,52.46795479,10.10602788,0,6.558297673,59.95697069,59.95697069
0.201,52.89845928,10.21593464,0,6.609215229,59.96853759,59.96853759
0.202,52.82462123,10.80685826,0,6.606592293,59.95288418,59.95288418
0.203,52.57342073,10.32693667,0,6.569929354,59.93919784,59.93919784
0.204,53.0460839,10.66360687,0,6.628865565,59.91429289,59.91429289
0.205,52.7501114,11.02581278,0,6.597553953,59.89251759,59.89251759
0.206,52.71753036,10.59540695,0,6.586810811,59.87347865,59.87347865
0.207,53.13026092,11.11761989,0,6.641126823,59.85683222,59.85683222
0.208,52.69138433,11.14828156,0,6.588919764,59.89237921,59.89237921
0.209,52.88510191,10.90550672,0,6.607164436,59.92345923,59.92345923
0.21,53.1426445,11.53372771,0,6.644647547,59.95063362,59.95063362
0.211,52.69356338,11.27467148,0,6.587396929,59.96673268,59.96673268
0.212,53.06404123,11.25089773,0,6.629596737,59.98080866,59.98080866
0.213,53.10619767,11.87863007,0,6.64138007,60.01141757,60.01141757
0.214,52.7673204,11.43406573,0,6.594912986,60.03818004,60.03818004
0.215,53.23124122,11.64645462,0,6.651324426,60.06157945,60.06157945
0.216,53.0436759,12.13168568,0,6.634202536,60.07155281,60.07155281
0.217,52.89914683,11.63212608,0,6.609992172,60.08027288,60.08027288
0.218,53.35884698,12.05727709,0,6.668745837,60.08789716,60.08789716
0.219,52.98119851,12.24483722,0,6.625916436,60.10197492,60.10197492
0.22,53.06868192,11.89675712,0,6.630316607,60.11428362,60.11428362
0.221,53.4168631,12.47706325,0,6.67795707,60.0719885,60.0719885
0.222,52.95691536,12.3449525,0,6.621220169,60.03500835,60.03500835
0.223,53.24775134,12.20032712,0,6.652442705,60.00267526,60.00267526
0.224,53.40126258,12.83697284,0,6.677705712,59.97440526,59.97440526
0.225,52.99220539,12.46377722,0,6.623865741,59.98791995,59.98791995
0.226,53.41771634,12.55055406,0,6.674148983,59.99973632,59.99973632
0.227,53.33995327,13.11707674,0,6.671026117,60.00134045,60.00134045
0.228,53.08704838,12.61182162,0,6.634145482,60.00274299,60.00274299
0.229,53.55983765,12.9228996,0,6.693074898,60.0603881,60.0603881
0.23,53.26661418,13.26047374,0,6.662091604,60.11078931,60.11078931
0.231,53.23778714,12.80609735,0,6.651816183,60.15485692,60.15485692
0.232,53.65566814,13.30639073,0,6.706770559,60.19338683,60.19338683
0.233,53.22254406,13.31732766,0,6.655276343,60.15509426,60.15509426
0.234,53.42133528,13.05671623,0,6.674162808,60.12161367,60.12161367
0.235,53.68318736,13.6688801,0,6.712189605,60.11147975,60.11147975
0.236,53.23721912,13.39490694,0,6.655341479,60.10261928,60.10261928
0.237,53.60879943,13.3569364,0,6.697691543,60.09487226,60.09487226
0.238,53.65032953,13.97051627,0,6.709399093,60.11256014,60.11256014
0.239,53.30933958,13.51103895,0,6.662686552,60.1280253,60.1280253
0.24,53.76952603,13.70717602,0,6.718637663,60.14154705,60.14154705
0.241,53.57781717,14.17470024,0,6.700994188,60.11566087,60.11566087
0.242,53.42883177,13.65560999,0,6.676231331,60.09302764,60.09302764
0.243,53.88496173,14.05969904,0,6.734530857,60.07323859,60.07323859
0.244,53.50511085,14.22518845,0,6.69141196,60.08982956,60.08982956
0.245,53.59173798,13.85418314,0,6.695701015,60.10433565,60.10433565
0.246,53.94142907,14.41215474,0,6.743513403,60.09123635,60.09123635
0.247,53.48461728,14.25854334,0,6.687162115,60.07978316,60.07978316
0.248,53.77956224,14.09362077,0,6.718891159,60.07978316,60.07978316
