t|Main,Q_g8|LM2500_8,V_g8|LM2500_8,freq_gt_8|LM2500_8,Vlow_gt_8|LM2500_8,P_g8|LM2500_8
11.852,2.715869182,1.007216004,59.64826616,1.002603523,7.267309836
11.853,2.721626826,1.006973059,59.64526926,1.003272531,7.290408101
11.854,2.757517478,1.007060209,59.64264896,1.001602169,7.293865883
11.855,2.707185649,1.007206631,59.64035794,1.002886198,7.274515546
11.856,2.734977072,1.006957072,59.62983506,1.002910446,7.304681949
11.857,2.759684182,1.007162525,59.62063452,1.001751633,7.293775599
11.858,2.713160962,1.007192596,59.61259015,1.003168359,7.279578782
11.859,2.746835151,1.006921903,59.59522781,1.002287663,7.307741799
11.86,2.739490028,1.007224908,59.58004728,1.001955652,7.287449528
11.861,2.709084213,1.007087873,59.55457162,1.003318312,7.290771529
11.862,2.759939527,1.006934471,59.53229733,1.001785508,7.31479165
11.863,2.732191413,1.007219307,59.5128221,1.002222311,7.286054652
11.864,2.72445358,1.007000346,59.49444647,1.0033334,7.29739821
11.865,2.770478878,1.006976993,59.47837998,1.001523239,7.309858795
11.866,2.727372615,1.00718476,59.46433247,1.00249397,7.281011327
11.867,2.737537098,1.006920091,59.4465071,1.003147577,7.3029935
11.868,2.780916812,1.006961772,59.43092173,1.001502119,7.301435915
11.869,2.726614429,1.007110836,59.41729488,1.002778568,7.274979948
11.87,2.744445445,1.006872845,59.40959511,1.002773427,7.301456231
11.871,2.757559143,1.007071315,59.40286293,1.00163945,7.291474947
11.872,2.708642327,1.007085185,59.39697674,1.003041468,7.283162545
11.873,2.748084701,1.006838691,59.40069043,1.002187959,7.314897547
11.874,2.743577611,1.007163362,59.40393745,1.001843829,7.295619253
11.875,2.711931298,1.007058678,59.41646285,1.003203086,7.298061951
11.876,2.752634112,1.006875576,59.42741427,1.001682139,7.324966093
11.877,2.724678996,1.006927424,59.43698949,1.001937862,7.30574402
11.878,2.722757696,1.005924985,59.45795586,1.002503931,7.34773734
11.879,2.790608693,1.004357403,59.47628753,0.99964221,7.441585556
11.88,2.8132926,1.002571569,59.49231557,0.999054258,7.567536283
11.881,2.906085889,0.999370715,59.49910157,0.997917753,7.829552841
11.882,3.050205389,0.996901487,59.50503482,0.994472371,8.193801072
11.883,3.168427485,0.995088473,59.51022247,0.994304202,8.578853021
11.884,3.360274523,0.991974712,59.47378374,0.99327496,9.045665916
11.885,3.591280304,0.990532438,59.44192403,0.99086443,9.53457731
11.886,3.715933742,0.989620719,59.41406794,0.991725575,9.958177926
11.887,3.912482546,0.987385029,59.34768842,0.99089264,10.39440362
11.888,4.092222702,0.987071486,59.2896504,0.989780258,10.78093672
11.889,4.170316456,0.986361785,59.23890565,0.991249706,11.08558645
11.89,4.309537515,0.984903503,59.18613113,0.990102962,11.38483074
11.891,4.357039218,0.985076016,59.13998845,0.990165075,11.60774498
11.892,4.364582477,0.983917382,59.11061581,0.99149342,11.79593623
11.893,4.393382762,0.982765114,59.08493424,0.989769677,12.00790189
11.894,4.32992758,0.983074829,59.06247992,0.990471248,12.16815027
11.895,4.28430187,0.982478334,59.03904381,0.991297998,12.36165032
11.896,4.274366009,0.983349029,59.01855277,0.989397647,12.59000766
11.897,4.166489343,0.985451834,59.00063672,0.99054403,12.77370345
11.898,4.117890144,0.986730339,58.98999399,0.990839379,13.01613353
11.899,4.104756684,0.988586441,58.98068866,0.989194829,13.28330531
11.9,4.017831496,0.990381292,58.97255268,0.99061644,13.50647192
11.901,4.023857509,0.991301027,59.00024336,0.990333175,13.78638153
11.902,4.03146969,0.992292784,59.02445433,0.989292018,14.05546423
11.903,3.992005562,0.992884111,59.04562286,0.990701283,14.28037971
11.904,4.029873575,0.9927767,59.10614905,0.989593587,14.56013421
11.905,4.033635232,0.99308694,59.1590693,0.989205229,14.80471132
