t|Main,P_g6|LM2500_6,Q_g6|LM2500_6,V_g6|LM2500_6,freq_gt_6|LM2500_6,Vlow_gt_6|LM2500_6
0.323,7.391956633,1.084760818,1.000466615,59.96075238,0.997706071
0.324,7.409315938,1.163906451,1.000922536,59.96693221,0.995939307
0.325,7.366489169,1.11519337,1.000612818,59.97233545,0.996896296
0.326,7.39852778,1.100203671,1.000629153,59.97566249,0.997100036
0.327,7.397219998,1.174323298,1.000985477,59.97857143,0.995575228
0.328,7.362711342,1.099115555,1.000542039,59.98111483,0.99664738
0.329,7.404032022,1.124420008,1.000880698,59.98778011,0.996324938
0.33,7.385276245,1.174927539,1.000993335,59.99360781,0.995344067
0.331,7.367454356,1.090967787,1.000578246,59.99870318,0.996342566
0.332,7.407862702,1.151283685,1.001103349,60.00320575,0.995333518
0.333,7.371183117,1.164947296,1.000908894,60.00714251,0.995128772
0.334,7.37286887,1.094976398,1.000668427,60.01058456,0.995896095
0.335,7.401660261,1.179791982,1.001241438,60.01540541,0.994469369
0.336,7.355669917,1.15320064,1.000782136,60.01962045,0.994834568
0.337,7.37912857,1.115765482,1.000934771,60.0253605,0.995387299
0.338,7.39100393,1.205983989,1.001232924,60.03037925,0.993851949
0.339,7.344719618,1.14346832,1.000654922,60.03476732,0.994518065
0.34,7.383111232,1.14827199,1.001143985,60.03947663,0.994749762
0.341,7.374467636,1.2234004,1.001041049,60.04359416,0.993331855
0.342,7.340992201,1.137261423,1.000691224,60.04719427,0.994202073
0.343,7.386444064,1.186444034,1.001286206,60.0537722,0.993914379
0.344,7.357321261,1.227731756,1.000878806,60.05952352,0.992938234
0.345,7.345432202,1.142413829,1.000838632,60.06455212,0.993898483
0.346,7.385331183,1.223026086,1.00118234,60.06610455,0.992859416
0.347,7.343215591,1.219802021,1.000775185,60.06746191,0.99271572
0.348,7.357230037,1.161128071,1.000932869,60.06769516,0.993562087
0.349,7.381760057,1.254921957,1.001003255,60.0678991,0.99211238
0.35,7.335892736,1.20832659,1.000737177,60.06807741,0.992611964
0.351,7.371219056,1.187175956,1.000938408,60.06481954,0.993159333
0.352,7.374999665,1.274783889,1.000861718,60.06197106,0.991665315
0.353,7.335994669,1.196774873,1.000769804,60.05948053,0.992541986
0.354,7.381597536,1.221609852,1.000886195,60.05550692,0.992630969
0.355,7.363337375,1.281781918,1.000759694,60.05203265,0.991456614
0.356,7.341154941,1.190432682,1.000799071,60.04899496,0.992498431
0.357,7.38537438,1.25530423,1.000853319,60.04426762,0.991885422
0.358,7.348780758,1.272706432,1.000775757,60.04013432,0.991387031
0.359,7.350163344,1.195977461,1.000829735,60.03529886,0.992406844
0.36,7.383020797,1.284074945,1.000798617,60.03107104,0.991166858
0.361,7.337262859,1.256368925,1.000800597,60.0273745,0.991447127
0.362,7.362449057,1.21326781,1.000823104,60.02381929,0.992225563
0.363,7.376816016,1.305062628,1.000824995,60.02071084,0.99075691
