t|Main,Vload_4|Load_4,Qload_4|Load_4,Pload_4|Load_4
14.607,1.01392281,6.283183748,43.33219515
14.608,1.014771698,6.340335794,42.83614988
14.609,1.015947602,6.099597597,42.23289954
14.61,1.016808707,6.062544104,41.80800927
14.611,1.017775297,6.058514235,41.29308903
14.612,1.016110817,5.812901309,40.73594918
14.613,1.014092641,5.809743333,40.31794381
14.614,1.0129653,5.714381792,39.75533237
14.615,1.011619509,5.506841214,39.23261027
14.616,1.010374882,5.528945042,38.80535127
14.617,1.010333206,5.385836723,38.20749844
14.618,1.009537566,5.231689196,37.72585026
14.619,1.009089161,5.287074653,37.28316876
14.62,1.009906389,5.10534229,36.67284307
14.621,1.009790718,4.99830152,36.21493358
14.622,1.010069093,5.059188693,35.74500219
14.623,1.0107959,4.840647213,35.14254959
14.624,1.010742888,4.787566196,34.72110929
14.625,1.011036026,4.822854388,34.22197999
14.626,1.011346448,4.587763109,33.66438637
14.627,1.010765106,4.583328482,33.29043847
14.628,1.010458983,4.585585731,32.86585023
14.629,1.008872945,4.48633843,32.60833444
14.63,1.006255076,4.648025459,32.73473483
14.631,1.004130687,4.801907122,33.03674913
14.632,1.001055347,5.043190965,33.66041313
14.633,0.997898468,5.499640723,34.67337613
14.634,0.9965417,5.839719368,35.69923665
14.635,0.993937594,6.169198862,36.8075961
14.636,0.991589304,6.692725555,38.08272271
14.637,0.991097476,6.980110031,39.17006347
14.638,0.989193067,7.207594962,40.20796269
14.639,0.987807894,7.578780932,41.24263661
14.64,0.987480722,7.629616866,42.01425141
14.641,0.98568125,7.799099231,42.81080183
14.642,0.984813642,7.991602125,43.54180347
14.643,0.984152287,7.946081574,44.08329909
14.644,0.982497664,8.076577774,44.74931568
14.645,0.983147114,8.220796566,45.33500451
14.646,0.983769932,8.161556526,45.81269295
14.647,0.984268417,8.328011708,46.4560677
14.648,0.987224281,8.44317343,46.99535519
14.649,0.988969435,8.407993908,47.4571219
14.65,0.989956379,8.599542835,48.0721382
14.651,0.992083064,8.650134911,48.52789957
14.652,0.992975081,8.668848579,48.97761327
14.653,0.993326502,8.856150962,49.54005769
14.654,0.994349592,8.829800262,49.9377585
14.655,0.994095401,8.876425159,50.38784764
14.656,0.99401403,9.064625496,50.90774961
14.657,0.994857057,8.994220715,51.26952005
14.658,0.997090629,9.005127632,51.55030751
14.659,1.000285955,9.002493586,51.36536815
14.66,1.003092923,8.515905581,50.72615368
14.661,1.004935336,8.223977453,50.07873406
14.662,1.007276823,7.949876556,49.20321405
14.663,1.009049535,7.527666012,48.26447094
14.664,1.01027455,7.338692149,47.43467727
14.665,1.011737339,7.051653374,46.47187834
14.666,1.01247567,6.789090226,45.63974139
14.667,1.013025455,6.73538815,44.98224527
14.668,1.014174385,6.526653316,44.21927892
14.669,1.014566196,6.360582801,43.63410197
14.67,1.015266833,6.416799122,43.16061029
14.671,1.01666503,6.221978129,42.54842932
14.672,1.017285969,6.114318875,42.08689802
14.673,1.018427163,6.162130501,41.6271538
14.674,1.018410574,5.922608222,41.04039137
14.675,1.016396046,5.867028867,40.6099177
14.676,1.014694245,5.851459511,40.0982275
14.677,1.013576909,5.60073973,39.53172781
14.678,1.011939689,5.581327947,39.11145222
14.679,1.011736586,5.526942993,38.56019667
14.68,1.011019173,5.304709333,38.0202708
14.681,1.010216974,5.331840323,37.60404127
14.682,1.011012037,5.233621697,37.02198438
14.683,1.01098211,5.056456878,36.51286198
14.684,1.010927016,5.109237888,36.08498624
14.685,1.011769276,4.954930395,35.4803832
14.686,1.011779477,4.8311894,35.01605429
14.687,1.011889321,4.891895286,34.56822026
14.688,1.012425513,4.685413025,33.97937158
14.689,1.012067194,4.611886233,33.5636132
14.69,1.012300981,4.659351312,33.10302625
14.691,1.012567487,4.429521712,32.55952246
14.692,1.012253363,4.417054483,32.19002984
14.693,1.012783642,4.433614477,31.70782679
14.694,1.01300913,4.209130912,31.20636205
14.695,1.012773273,4.236432613,30.8419312
14.696,1.013556135,4.1931192,30.32264811
14.697,1.013533795,4.006912285,29.86078711
14.698,1.013384221,4.07241741,29.48792282
14.699,1.014118471,3.971954117,28.94170443
14.7,1.014037808,3.836836016,28.51588458
14.701,1.013932808,3.918331811,28.12328812
14.702,1.014419799,3.760263517,27.57578268
14.703,1.014104397,3.684149005,27.20006534
14.704,1.014178806,3.772332647,26.79228998
14.705,1.01453124,3.580437912,26.27996712
14.706,1.014125485,3.557788632,25.94658786
14.707,1.014377258,3.623041947,25.52516441
14.708,1.014533363,3.417957659,25.06781146
14.709,1.014123715,3.452914149,24.77414406
14.71,1.01452157,3.477191256,24.34054265
14.711,1.014479767,3.295472746,23.9430922
14.712,1.014048282,3.370860467,23.66376108
14.713,1.014577015,3.327634967,23.21957017
14.714,1.014246189,3.194950623,22.88660747
14.715,1.014011314,3.304026919,22.60957797
14.716,1.014499766,3.206954528,22.17246657
14.717,1.014126868,3.126910683,21.89196479
14.718,1.014076989,3.245088225,21.60457823
14.719,1.014442286,3.097039458,21.19392312
14.72,1.014010195,3.078606337,20.9674298
14.721,1.014116233,3.192388971,20.66870354
14.722,1.01437592,3.020434915,20.30537624
14.723,1.01391114,3.054176467,20.11767286
