Time (s), Pload_1 (MW), P_BESS (MW), P_g1 (MW), P_g2 (MW), Pload_2 (MW), P_g3 (MW), P_g4 (MW), Qload_1 (MVar), Q_BESS (MVar), Q_g1 (MVar), Q_g2 (MVar), Qload_2 (MVar), Q_g3 (MVar), Q_g4 (MVar), Vload_1 (p.u.), V_BESS (p.u.), V_g1 (p.u.), V_g2 (p.u.), Vload_2 (p.u.), V_g3 (p.u.), V_g4 (p.u.), f_poi_meas (Hz)
6.511000000000003,18.2123693413,-3.80784198861,10.0583236757,10.0583236757,18.2123679758,10.0583236757,10.0583236757,5.39267565066,-0.672260866703,2.86413957345,2.86413957344,5.39267516666,2.86413957345,2.86413957345,1.01307183487,1.01305610254,1.01307183487,1.01307183487,1.01307183487,1.01307183487,1.01307183487,59.4786024365
6.5120000000000005,18.1850833239,-3.83511345582,10.0514978768,10.0514978768,18.1850817056,10.0514978768,10.0514978768,5.48774025149,-0.592904660045,2.89183322043,2.89183322043,5.48773972677,2.89183322043,2.89183322043,1.01319457814,1.01317893122,1.01319457814,1.01319457814,1.01319457814,1.01319457814,1.01319457814,59.4768322141
6.512999999999998,18.1419120298,-3.83822884837,10.0306901094,10.0306901094,18.1419103439,10.0306901094,10.0306901094,5.33489210775,-0.658701967006,2.83185908562,2.83185908562,5.33489160466,2.83185908562,2.83185908562,1.01332933056,1.01331360131,1.01332933056,1.01332933056,1.01332933056,1.01332933056,1.01332933056,59.4752844445
6.514000000000003,18.2278897813,-3.78832747143,10.0612025841,10.0612025841,18.2278880537,10.0612025841,10.0612025841,5.42577852712,-0.622236375457,2.8681862055,2.8681862055,5.42577807192,2.8681862055,2.8681862055,1.01302238786,1.01300671825,1.01302238786,1.01302238786,1.01302238786,1.01302238786,1.01302238786,59.4739311733
6.515000000000001,18.1610065493,-3.83955627586,10.040567526,10.040567526,18.1610047927,10.040567526,10.040567526,5.45360132,-0.596719844911,2.87571905942,2.87571905942,5.45360090124,2.87571905942,2.87571905942,1.01336447075,1.01334883501,1.01336447075,1.01336447075,1.01336447075,1.01336447075,1.01336447075,59.4822916557
6.515999999999998,18.1570875328,-3.81584237434,10.0326784612,10.0326784612,18.1570857998,10.0326784612,10.0326784612,5.32941079513,-0.647520402796,2.82632447968,2.82632447968,5.32941041931,2.82632447968,2.82632447968,1.01329932727,1.01328361713,1.01329932727,1.01329932727,1.01329932727,1.01329932727,1.01329932727,59.4896015289
6.517000000000003,18.2272545252,-3.78032895653,10.0588827665,10.0588827665,18.2272528302,10.0588827665,10.0588827665,5.454812697,-0.557644650258,2.86655678311,2.86655678311,5.45481236017,2.86655678311,2.86655678311,1.01305786387,1.01304221791,1.01305786387,1.01305786387,1.01305786387,1.01305786387,1.01305786387,59.4959928163
6.518000000000001,18.1432866965,-3.83140212048,10.0296663779,10.0296663779,18.143285001,10.0296663779,10.0296663779,5.4095339796,-0.535843535542,2.83846784512,2.83846784512,5.40953366971,2.83846784512,2.83846784512,1.01332366834,1.01330801052,1.01332366834,1.01332366834,1.01332366834,1.01332366834,1.01332366834,59.5009555212
6.518999999999998,18.1776091837,-3.78710126439,10.0357512906,10.0357512906,18.1776073693,10.0357512906,10.0357512906,5.3393641313,-0.581141576345,2.81470784715,2.81470784715,5.33936379398,2.81470784715,2.81470784715,1.01325217341,1.01323647846,1.01325217341,1.01325217341,1.01325217341,1.01325217341,1.01325217341,59.5052945942
6.520000000000003,18.2221549859,-3.77656262588,10.0553887894,10.0553887894,18.2221530317,10.0553887894,10.0553887894,5.47970470205,-0.509775359872,2.86703686453,2.86703686453,5.4797043267,2.86703686453,2.86703686453,1.01307755155,1.0130619334,1.01307755155,1.01307755155,1.01307755155,1.01307755155,1.01307755155,59.5058058623
6.521000000000001,18.129281894,-3.83497399937,10.0235543313,10.0235543313,18.1292797916,10.0235543313,10.0235543313,5.37327027391,-0.541644458391,2.82178766294,2.82178766294,5.37326986286,2.82178766294,2.82178766294,1.01332990361,1.01331421453,1.01332990361,1.01332990361,1.01332990361,1.01332990361,1.01332990361,59.5062528826
6.5219999999999985,18.1958098761,-3.78372678345,10.044005408,10.044005408,18.1958077666,10.044005408,10.044005408,5.35824588428,-0.54533995768,2.81519973472,2.81519973472,5.35824547538,2.81519973472,2.81519973472,1.01312885173,1.01311312702,1.01312885173,1.01312885173,1.01312885173,1.01312885173,1.01312885173,59.5066437286
6.523000000000003,18.205832632,-3.79374221458,10.0515201244,10.0515201244,18.2058305698,10.0515201244,10.0515201244,5.49220874647,-0.457900018061,2.86032151856,2.86032151856,5.49220836054,2.86032151856,2.86032151856,1.01314644916,1.01313083328,1.01314644916,1.01314644916,1.01314644916,1.01314644916,1.01314644916,59.5151855544
6.524000000000001,18.1326692004,-3.81992261902,10.0214826009,10.0214826009,18.1326672153,10.0214826009,10.0214826009,5.34624949015,-0.507260171571,2.79968266462,2.79968266461,5.34624915062,2.79968266461,2.79968266462,1.01333196284,1.01331630457,1.01333196284,1.01333196284,1.01333196284,1.01333196284,1.01333196284,59.5226539827
6.524999999999999,18.2146670135,-3.76229082025,10.0480724953,10.0480724953,18.2146651212,10.0480724953,10.0480724953,5.38814887521,-0.5077062474,2.82074423567,2.82074423567,5.38814858117,2.82074423567,2.82074423567,1.01308252357,1.01306694635,1.01308252357,1.01308252357,1.01308252357,1.01308252357,1.01308252357,59.5291839006
6.526000000000003,18.1845016646,-3.79054415287,10.0400525423,10.0400525423,18.1844998632,10.0400525423,10.0400525423,5.48557513201,-0.454496575164,2.85615544329,2.85615544329,5.4855748785,2.85615544329,2.85615544329,1.01319878733,1.0131833189,1.01319878733,1.01319878733,1.01319878733,1.01319878733,1.01319878733,59.5227436526
6.527000000000001,18.139387559,-3.79376099139,10.0182988112,10.0182988112,18.1393858501,10.0182988112,10.0182988112,5.33093853953,-0.529716367688,2.79764273994,2.79764273993,5.33093831574,2.79764273993,2.79764273993,1.01334924041,1.01333372796,1.01334924041,1.01334924041,1.01334924041,1.01334924041,1.01334924041,59.5171127101
6.527999999999999,18.2242529556,-3.73102889751,10.0450474244,10.0450474244,18.2242513989,10.0450474244,10.0450474244,5.42032417192,-0.46843038213,2.82701441889,2.82701441889,5.42032398946,2.82701441889,2.82701441889,1.01303894318,1.01302353708,1.01303894318,1.01303894318,1.01303894318,1.01303894318,1.01303894318,59.5121893726
6.5290000000000035,18.1642226376,-3.76728405554,10.0240954205,10.0240954205,18.164221228,10.0240954205,10.0240954205,5.45324839562,-0.418263663973,2.83093546961,2.83093546961,5.4532482596,2.83093546961,2.83093546961,1.01330808996,1.01329278327,1.01330808996,1.01330808996,1.01330808996,1.01330808996,1.01330808996,59.5185287005
6.530000000000001,18.1567230933,-3.73562878492,10.0124307596,10.0124307596,18.1567218399,10.0124307596,10.0124307596,5.3290249791,-0.47641413602,2.78336193323,2.78336193323,5.32902488462,2.78336193323,2.78336193323,1.01326812031,1.01325277694,1.01326812031,1.01326812031,1.01326812031,1.01326812031,1.01326812031,59.5240714049
6.530999999999999,18.2296278405,-3.69601127911,10.0389779162,10.0389779162,18.2296266807,10.0389779162,10.0389779162,5.45298933749,-0.413049672105,2.82950330783,2.82950330783,5.45298927324,2.82950330783,2.82950330783,1.01306456965,1.01304936515,1.01306456965,1.01306456965,1.01306456965,1.01306456965,1.01306456965,59.5289175925
