t|Main,Vload_2|Load_2,Qload_2|Load_2,Pload_2|Load_2
14.743,1.01317039,3.103665139,16.48160751
14.744,1.013701606,3.105464674,16.30144175
14.745,1.013423333,3.020039036,16.2370529
14.746,1.013173992,3.172025384,16.22328861
14.747,1.013608215,3.109041693,16.05269494
14.748,1.013190257,3.081468016,16.0478585
14.749,1.013122356,3.243938021,16.02156547
14.75,1.013456851,3.134378773,15.87925451
14.751,1.012970774,3.160118029,15.91550448
14.752,1.013132308,3.305113183,15.87116207
14.753,1.013312221,3.168506549,15.7699257
14.754,1.012866948,3.24996233,15.83864991
14.755,1.013208139,3.355877001,15.7741428
14.756,1.013286154,3.227145452,15.72263795
14.757,1.01278408,3.349136502,15.80287293
14.758,1.013315445,3.383711376,15.72121199
14.759,1.013090371,3.294035408,15.72940847
14.76,1.012864138,3.449993232,15.81149183
14.761,1.013388327,3.421928929,15.72837297
14.762,1.013067244,3.378546096,15.78482218
14.763,1.012996778,3.546086067,15.85037524
14.764,1.013400372,3.456486164,15.77761021
14.765,1.013025165,3.471785727,15.88050722
14.766,1.013054684,3.635175824,15.92126315
14.767,1.013342085,3.514753621,15.87481126
14.768,1.012905214,3.580863431,15.99993946
14.769,1.01315834,3.704686208,16.0102077
14.77,1.013271566,3.575824356,16.00372183
14.771,1.012930371,3.691807055,16.14581238
14.772,1.013399982,3.758658533,16.13070559
14.773,1.013364832,3.653789653,16.16840735
14.774,1.013040813,3.800589923,16.30266396
14.775,1.013581848,3.789957946,16.26578684
14.776,1.013299624,3.734381011,16.35364393
14.777,1.01316282,3.902216352,16.46914683
14.778,1.013636916,3.833722418,16.43224059
14.779,1.01327389,3.829702618,16.55418915
14.78,1.013360927,3.993940898,16.63991792
14.781,1.013708246,3.879315279,16.61443156
14.782,1.013379425,3.931873393,16.76458711
14.783,1.013559851,4.071881184,16.81371481
14.784,1.013815534,3.93928161,16.81695531
14.785,1.013462659,4.03666188,16.97407122
14.786,1.013903806,4.117986803,16.98462309
14.787,1.013905676,4.001910197,17.02543153
14.788,1.01362065,4.140788799,17.17762439
14.789,1.014160677,4.151847252,17.15958798
14.79,1.014003312,4.078950382,17.24072309
14.791,1.013850117,4.237218441,17.37222163
14.792,1.014306584,4.17897318,17.33633489
14.793,1.014042171,4.160142743,17.45392497
14.794,1.014030536,4.323102873,17.54900101
14.795,1.014388819,4.212154167,17.52052272
14.796,1.014043558,4.243425383,17.65985529
14.797,1.014239604,4.386105893,17.71492304
14.798,1.014473515,4.248889474,17.70485356
14.799,1.014150995,4.333964121,17.85561157
14.8,1.014443155,4.42775404,17.8683952
14.801,1.014602053,4.299585384,17.89057202
14.802,1.014294332,4.422626378,18.03504853
14.803,1.014817829,4.441982426,18.01053406
14.804,1.014689549,4.354873115,18.0694429
14.805,1.014503106,4.506478844,18.19027386
14.806,1.014965551,4.455227416,18.14445964
14.807,1.01475719,4.416904104,18.23564066
14.808,1.014743416,4.573173918,18.322669
14.809,1.015083205,4.466741292,18.271498
14.81,1.014815996,4.485296773,18.38942415
14.811,1.014916316,4.626890571,18.43163556
14.812,1.015208371,4.486869602,18.39724981
14.813,1.014870876,4.553233627,18.52460278
14.814,1.015191405,4.650142921,18.52393219
14.815,1.015285957,4.512027958,18.51733839
14.816,1.015037742,4.626391561,18.64116198
14.817,1.015508543,4.654427226,18.60196685
14.818,1.015446459,4.550378028,18.6315472
14.819,1.015260347,4.69107833,18.73380041
14.82,1.015723772,4.643488854,18.66587569
14.821,1.015515573,4.593287407,18.73256496
14.822,1.015442373,4.748114618,18.79944375
14.823,1.015833519,4.643643821,18.72585348
14.824,1.015605962,4.645954417,18.8148529
14.825,1.01569308,4.785434855,18.84073653
14.826,1.015940714,4.641947717,18.779694
14.827,1.015715593,4.701228606,18.88520955
14.828,1.015972142,4.80290035,18.86828988
14.829,1.016121492,4.659117351,18.83497217
14.83,1.015829027,4.760087719,18.93458462
14.831,1.016270638,4.788906558,18.87573893
14.832,1.016187317,4.678546854,18.88166628
14.833,1.016011578,4.815439075,18.96627521
14.834,1.016467666,4.774299434,18.88041446
14.835,1.016344053,4.712188336,18.91960604
14.836,1.016249725,4.859169382,18.96891414
14.837,1.016602812,4.754772206,18.87447104
14.838,1.016345189,4.751131007,18.94399608
14.839,1.01643097,4.89174507,18.95471796
14.84,1.01668806,4.749012481,18.87420031
14.841,1.016446663,4.795119498,18.95601689
14.842,1.016700324,4.895036412,18.92245259
14.843,1.016819121,4.746049556,18.87107205
14.844,1.016584076,4.843279883,18.9578174
14.845,1.016966446,4.879145518,18.88731957
14.846,1.016959346,4.757506817,18.87202131
14.847,1.016727349,4.886142528,18.9407461
14.848,1.017121564,4.845284134,18.84114863
14.849,1.016958886,4.778814747,18.86724142
14.85,1.016901131,4.926824028,18.90817396
14.851,1.017219812,4.825124952,18.80330427
14.852,1.017006643,4.811835154,18.85627713
14.853,1.01707383,4.950471221,18.85624086
14.854,1.017318252,4.806924001,18.76397459
14.855,1.017068629,4.852692404,18.83940362
14.856,1.017220938,4.958370493,18.7986797
14.857,1.017378955,4.804406867,18.73579494
14.858,1.017140248,4.895513895,18.81103149
14.859,1.017507752,4.931420845,18.73273585
14.86,1.017448752,4.809002738,18.71108915
14.861,1.017284735,4.938955588,18.77620257
14.862,1.017666897,4.901766127,18.67391457
14.863,1.017546568,4.827819168,18.69083162
14.864,1.017442395,4.972912435,18.72664563
14.865,1.017730293,4.870847991,18.61636154
14.866,1.017510551,4.857039162,18.66804901
14.867,1.017533227,4.998822109,18.66603076
14.868,1.017752146,4.855568164,18.57054016
14.869,1.017498005,4.8960346,18.63831551
14.87,1.017675447,5.000469707,18.59697617
14.871,1.017812245,4.847167978,18.53184363
14.872,1.017591155,4.939572221,18.60836584
14.873,1.017883058,4.980205178,18.53117527
14.874,1.017884603,4.85480069,18.50635005
14.875,1.017643766,4.980072346,18.5690461
14.876,1.018006688,4.942577031,18.46468944
14.877,1.017798741,4.869422379,18.48182614
14.878,1.017704506,5.014978643,18.51720455
14.879,1.017973778,4.912939674,18.40999324
14.88,1.017724295,4.895519888,18.45924469
14.881,1.017746047,5.035227046,18.46212212
14.882,1.017901638,4.892761651,18.36912138
14.883,1.017665806,4.935051969,18.44265768
14.884,1.017772611,5.042222676,18.40552064
14.885,1.017867493,4.889193198,18.34459446
14.886,1.017570216,4.979022506,18.42109214
14.887,1.017877906,5.018329971,18.34754057
14.888,1.017829525,4.894760677,18.32607364
14.889,1.01763401,5.023717287,18.39257466
14.89,1.01790959,4.987148813,18.29380351
14.891,1.017782027,4.91241349,18.31352153
14.892,1.017667775,5.056392608,18.35515904
14.893,1.017895369,4.955917928,18.25053019
14.894,1.017673649,4.941838317,18.30701556
14.895,1.017651438,5.082894855,18.31187501
14.896,1.017829081,4.939149656,18.22555779
14.897,1.017566008,4.979818668,18.30170829
14.898,1.017689041,5.085732855,18.2691921
14.899,1.017764313,4.933145214,18.21255119
14.9,1.01752927,5.026645128,18.29647409
14.901,1.017792789,5.067245618,18.22837885
14.902,1.017747837,4.942694447,18.21237721
14.903,1.017508211,5.070372464,18.28405847
14.904,1.017812147,5.034542711,18.19135626
14.905,1.017637779,4.964452341,18.21833179
14.906,1.017527076,5.112100936,18.2637124
14.907,1.017774158,5.010809813,18.16681086
14.908,1.017578201,4.994669626,18.22556134
14.909,1.017582797,5.133696375,18.23567876
14.91,1.017760727,4.990827303,18.15239685
14.911,1.017514428,5.035197161,18.23584103
14.912,1.017607083,5.140890946,18.2082004
14.913,1.017721151,4.9880807,18.15611389
14.914,1.017463273,5.078809595,18.24157512
14.915,1.017711252,5.115707512,18.17822864
14.916,1.017656488,4.995129695,18.16796991
14.917,1.017447411,5.125678949,18.24469514
14.918,1.017763177,5.089096556,18.15741795
14.919,1.017621389,5.017318114,18.18782057
14.92,1.017471561,5.162156771,18.23682412
14.921,1.017721187,5.061022523,18.14331764
14.922,1.01748482,5.050039205,18.20898827
14.923,1.017477589,5.190253526,18.22315077
14.924,1.017647416,5.047006114,18.14547684
14.925,1.017422192,5.088943365,18.22923735
14.926,1.017533054,5.190665472,18.20531609
14.927,1.017630873,5.039504288,18.15889099
14.928,1.017403868,5.134492672,18.25129186
14.929,1.01766975,5.171182698,18.19222057
14.93,1.017631578,5.048346603,18.18433334
14.931,1.017433904,5.175958459,18.2617799
14.932,1.017726417,5.135168486,18.17542006
14.933,1.017549474,5.067975375,18.21106187
14.934,1.017476989,5.215650129,18.26431705
14.935,1.017736097,5.113575085,18.17428656
14.936,1.017552528,5.100763727,18.23971834
14.937,1.017519118,5.238096285,18.25422419
14.938,1.017705553,5.094711604,18.17825458
14.939,1.01743315,5.141728276,18.26681907
14.94,1.017564562,5.244172362,18.24357516
14.941,1.017647749,5.09225052,18.19785785
14.942,1.017388074,5.184776548,18.28747286
14.943,1.017672948,5.215295625,18.22570993
14.944,1.017589907,5.096875551,18.22109329
14.945,1.017403913,5.227029497,18.3019774
