t|Main,Q_BESS1|BESS_1,V_BESS1|BESS_1,freq_BESS_1|BESS_1,Vrms_BESS_1|BESS_1,P_BESS1|BESS_1
11.574,2.033670389,1.011604732,59.47632903,1.011525738,5.715499519
11.575,1.914329408,1.011740985,59.46507445,1.013224315,5.689973549
11.576,1.941344731,1.011475717,59.45523417,1.013094002,5.772655401
11.577,1.966082546,1.011648427,59.46848644,1.011754462,5.744709755
11.578,1.859868903,1.011672617,59.48007338,1.013480994,5.768950933
11.579,1.944338937,1.011403364,59.49020426,1.012280865,5.843346687
11.58,1.944638554,1.011723153,59.48213477,1.011932801,5.7866159
11.581,1.874578517,1.011544881,59.47507932,1.013591353,5.824174456
11.582,1.947412223,1.011394,59.46891048,1.011529894,5.873640989
11.583,1.897714911,1.011655585,59.46623363,1.012124981,5.822095991
11.584,1.86450127,1.011404736,59.46389317,1.013512134,5.892571762
11.585,1.977135414,1.011378474,59.46184682,1.011139281,5.910623969
11.586,1.892736531,1.011565857,59.47893223,1.012437748,5.853198552
11.587,1.889203524,1.011281976,59.49387062,1.013207482,5.922275113
11.588,1.946278467,1.011336357,59.52010416,1.011232824,5.909642812
11.589,1.842660584,1.011440515,59.5430411,1.012912155,5.892879203
11.59,1.890333304,1.011142382,59.56309569,1.012715733,5.968263876
11.591,1.938845567,1.011362244,59.58063015,1.011362864,5.9253695
11.592,1.832006037,1.011360769,59.58148877,1.013196216,5.925508317
11.593,1.882902712,1.011118844,59.58223949,1.01195953,5.992551664
11.594,1.860609332,1.011426683,59.57658732,1.011663193,5.939185442
11.595,1.784063542,1.011310963,59.57164543,1.013330092,5.9867868
11.596,1.888817438,1.011162607,59.57019833,1.011374279,6.033427305
11.597,1.837882571,1.011424569,59.56893308,1.011977676,5.968340424
11.598,1.796465234,1.011203173,59.56782682,1.013272427,6.026527715
11.599,1.863210045,1.011117645,59.56685959,1.01116408,6.048149649
11.6,1.776836283,1.011303489,59.56744725,1.012365414,6.011425487
11.601,1.783562752,1.011005605,59.56796106,1.013088163,6.093306119
11.602,1.875763576,1.011100515,59.56841031,1.011006583,6.083335303
11.603,1.762199457,1.011198211,59.54333641,1.012673604,6.054165876
