t|Main,AllBesses,All_LM_Power,all_Loads
0.059,-0.166882296,22.366414679999995,22.199532384
0.06,-0.172569612,22.53657484,22.364005227999996
0.061,-0.17689231,22.467332607999996,22.290440297000004
0.062,-0.183015496,22.71824508,22.535229584
0.063,-0.189268846,22.860275895999997,22.671007052
0.064,-0.192744104,22.861175592,22.668431485000003
0.065,-0.19734615,23.213168696,23.015822543
0.066,-0.203362898,23.313084839999995,23.109721936999996
0.067,-0.209209904,23.441557248000002,23.232347346999997
0.068,-0.213837478,23.867080688,23.653243212
0.069,-0.220461756,23.935970255999997,23.715508498
0.07,-0.22707117,24.237151471999997,24.010080299
0.071,-0.234295218,24.695528832000004,24.461233614
0.072,-0.237098548,24.770924624,24.533826075
0.073,-0.24550807,25.263308824000003,25.017800755
0.074,-0.253184366,25.704905120000003,25.451720756
0.075,-0.256627432,25.85904492,25.602417491
0.076,-0.263473308,26.514956544,26.251483238
0.077,-0.27144546,26.902895136000005,26.631449675
0.078,-0.275223122,27.198734776000002,26.923511654000002
0.079,-0.27977202,27.96558148,27.685809461999998
0.08,-0.285459102,28.281151239999993,27.995692136
0.081,-0.2930313,28.775189103999995,28.482157805
0.082,-0.295883562,29.58620713599999,29.290323571
0.083,-0.294137626,29.846653336,29.552515708999998
0.084,-0.3039519,30.567977976000005,30.264026073
0.085,-0.309743058,31.352891255999996,31.043148197999997
0.086,-0.309394628,31.645567432000004,31.336172808
0.087,-0.314659812,32.57534104799999,32.260681234
0.088,-0.328428246,33.28416036800001,32.955732119000004
0.089,-0.32391331,33.698226304,33.374312993
0.09,-0.329486412,34.788441992,34.45895558
0.091,-0.341205582,35.37993835999999,35.038732781
0.092,-0.346353266,36.00965196800001,35.663298704
0.093,-0.35067391,37.180617856,36.829943942
0.094,-0.353378846,37.652671024,37.299292179
0.095,-0.359676536,38.543653376,38.183976837
0.096,-0.362411922,39.692292864,39.329880939
0.097,-0.367120374,40.120826864,39.753706487
0.098,-0.372132892,41.272237968000006,40.90010509
0.099,-0.385065208,42.315568256,41.93050305
0.1,-0.384636726,42.810748048,42.42611133
0.101,-0.379976482,44.111285256,43.73130877
0.102,-0.38149562,44.77735392,44.39585829
0.103,-0.370414306,45.047455856,44.67704156
0.104,-0.362378928,45.85674671200001,45.49436778
0.105,-0.35766389,45.76810172,45.41043782
0.106,-0.352500972,45.89412195199999,45.54162098
0.107,-0.348695474,46.439259408,46.090563939999996
0.108,-0.333628906,46.115766344,45.78213744
0.109,-0.333574666,46.486362031999995,46.15278737
0.11,-0.331717412,46.974827648,46.643110240000006
0.111,-0.322326602,46.740163504,46.417836890000004
0.112,-0.318436432,47.348058488,47.02962205
0.113,-0.320691904,47.647355408,47.3266635
0.114,-0.31203984,47.52439953599999,47.21235969
0.115,-0.31028429,48.195031256,47.884746959999994
0.116,-0.308925194,48.209748983999994,47.90082379
0.117,-0.306252028,48.268698672,47.962446639999996
0.118,-0.30003419,48.90128324,48.60124905
0.119,-0.295130802,48.690456816,48.39532602
0.12,-0.29805786,48.954621384,48.65656353
0.121,-0.30193968,49.454252608,49.15231292
0.122,-0.290093176,49.114668792,48.82457561
0.123,-0.293847914,49.532538128,49.23869022
0.124,-0.293265524,49.79256980000001,49.499304280000004
0.125,-0.28708198,49.457927944,49.17084595
0.126,-0.28386839,49.96002354400001,49.67615515
0.127,-0.29109283,49.968500392,49.677407560000006
0.128,-0.288005188,49.781455976000004,49.493450790000004
0.129,-0.283393982,50.32779061600001,50.04439662
0.13,-0.281009336,50.11196874400001,49.8309594
0.131,-0.282321002,50.166401152,49.88408015
0.132,-0.281454704,50.667043031999995,50.38558832
0.133,-0.278012682,50.31678344800001,50.038770760000006
0.134,-0.278428128,50.603048984,50.32462085
0.135,-0.283225908,50.945174376000004,50.66194846
0.136,-0.270929124,50.558799136,50.28787002
0.137,-0.270305686,50.995714336,50.72540866
0.138,-0.272620166,51.091569064,50.81894889
0.139,-0.26231615,50.786426727999995,50.52411057
0.14,-0.264755386,51.291812784,51.027057400000004
0.141,-0.267231184,51.134870056000004,50.86763887
0.142,-0.264598638,51.01090210400001,50.74630345999999
0.143,-0.263297872,51.49597579200001,51.23267791
0.144,-0.25527861,51.133490072,50.878211449999995
0.145,-0.257381462,51.248908104,50.99152665
0.146,-0.265721796,51.637061111999984,51.371339320000004
0.147,-0.2511344,51.194235472,50.943101080000005
0.148,-0.254390416,51.52383275199999,51.26944234
0.149,-0.267879992,51.726806376000006,51.45892638000001
0.15,-0.253526408,51.340662736000006,51.08713633
0.151,-0.25550565,51.804091992,51.54858634
0.152,-0.261374838,51.762384536000006,51.5010097
0.153,-0.261674552,51.53731047999999,51.27563593000001
0.154,-0.25891146,52.029751471999994,51.77084002
0.155,-0.259067352,51.751204327999986,51.492136970000004
0.156,-0.259819592,51.73584116,51.47602157
0.157,-0.259236726,52.162262368000015,51.903025639999996
0.158,-0.254029142,51.72725786400001,51.473228719999994
0.159,-0.257394878,51.93365260000001,51.676257719999995
0.16,-0.261001684,52.204485719999994,51.94348404
0.161,-0.24979831,51.75168059999999,51.501882300000005
0.162,-0.250629434,52.132647223999996,51.88201779
0.163,-0.256753534,52.19083539999998,51.93408185999999
0.164,-0.249595018,51.85437782399999,51.6047828
0.165,-0.2513281,52.331087152,52.079759059999994
0.166,-0.253687676,52.156218512,51.90253083
0.167,-0.25759289,52.02647788000001,51.76888498
0.168,-0.255055728,52.49390987200001,52.238854139999994
0.169,-0.249454144,52.11851128,51.869057139999995
0.17,-0.253232954,52.218119,51.96488605
0.171,-0.253107348,52.57258422400001,52.31947688
0.172,-0.24888374,52.11235048000002,51.86346674
0.173,-0.248495644,52.407279432,52.158783789999994
0.174,-0.258456848,52.573207264000004,52.31475041
0.175,-0.252458676,52.159094687999996,51.90663601
0.176,-0.254989798,52.58879532000002,52.33380552
0.177,-0.262659986,52.519702328,52.257042340000005
0.178,-0.255428456,52.260467096000006,52.00503865
0.179,-0.252585056,52.732769936000004,52.480184890000004
0.18,-0.249767034,52.438321664,52.18855463
0.181,-0.256501642,52.418912176,52.162410539999996
0.182,-0.252771498,52.83618238399999,52.583410889999996
0.183,-0.24703583,52.400049239999994,52.15301340999999
0.184,-0.253501414,52.60896491199999,52.35546351
0.185,-0.257167868,52.87725089600001,52.620083019999996
0.186,-0.245683844,52.42149336,52.17580951
0.187,-0.248776442,52.797991808,52.54921536
0.188,-0.255471592,52.846443152,52.59097156
0.189,-0.247979844,52.497601407999994,52.24962157
0.19,-0.249793056,52.95948451200001,52.709691449999994
0.191,-0.245086956,52.76126346400001,52.51617651
0.192,-0.250881494,52.616519008000004,52.36563751
0.193,-0.25046953,53.071045720000015,52.82057619
0.194,-0.241571812,52.680249904,52.438678089999996
0.195,-0.245669726,52.770529296,52.52485957
0.196,-0.254982452,53.129001736000006,52.87401929000001
0.197,-0.242406928,52.659263440000004,52.416856499999994
0.198,-0.249163076,52.96180817599999,52.712645099999996
0.199,-0.247945028,53.119584864,52.87163982
0.2,-0.24551767,52.713472464,52.467954799999994
0.201,-0.244635372,53.14309465600001,52.89845928
0.202,-0.250808724,53.07542996,52.824621230000005
0.203,-0.257964226,52.831384952,52.573420729999995
